Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,Treatment,Department_Computer Science and Engineering,Department_Economics,Department_Electrical and Electronic Engineering,Department_English,"Department_Journalism, Communication and Media Studies",Department_Law and Human Rights,Department_Political Science,Department_Public Health,Department_Sociology
1,4.17,4.84,0,0,3,2,0,3,0,3,1,6,3.22,3.35,1,False,False,False,False,False,False,False,False,False
0,4.92,5.0,2,1,3,0,0,3,0,3,1,7,3.467,3.467,0,False,False,False,False,False,False,False,False,False
1,5.0,4.83,1,0,3,0,2,3,0,4,1,3,4.0,3.72,0,False,False,False,False,False,False,False,False,False
1,4.0,4.5,3,1,5,2,2,3,0,5,1,4,3.8,3.75,1,False,False,False,False,False,False,False,False,False
0,2.19,3.17,1,0,3,0,1,3,0,3,1,4,3.94,3.94,0,False,False,False,False,False,False,False,False,False
1,4.75,4.05,1,0,3,0,2,0,0,4,0,2,1.0,1.0,0,True,False,False,False,False,False,False,False,False
1,4.42,5.0,3,0,4,0,2,2,0,2,0,2,1.06,1.06,0,True,False,False,False,False,False,False,False,False
1,4.5,4.81,2,1,3,1,2,3,0,4,1,11,2.95,1.25,1,True,False,False,False,False,False,False,False,False
1,3.32,4.5,0,1,4,0,2,0,0,3,1,5,1.42,1.44,0,True,False,False,False,False,False,False,False,False
0,3.33,4.95,1,1,3,0,2,0,0,4,0,2,1.5,1.5,0,True,False,False,False,False,False,False,False,False
1,4.17,5.0,1,0,3,0,2,0,0,4,0,2,1.56,1.56,0,True,False,False,False,False,False,False,False,False
1,3.58,4.56,2,0,4,0,2,0,0,4,0,9,1.57,1.57,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,1,8,1.57,1.57,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,2,0,1,0,2,2,0,2,0,8,1.0,1.6,0,True,False,False,False,False,False,False,False,False
1,3.83,5.0,0,0,2,0,2,0,0,4,0,2,1.62,1.62,0,True,False,False,False,False,False,False,False,False
1,4.33,4.64,1,1,5,0,2,0,0,4,0,2,1.69,1.69,0,True,False,False,False,False,False,False,False,False
0,4.51,4.75,1,0,1,0,2,2,0,2,1,8,1.83,1.71,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,0,2,1.69,1.72,0,True,False,False,False,False,False,False,False,False
1,3.92,4.72,3,0,3,0,2,2,0,2,0,5,1.33,1.75,0,True,False,False,False,False,False,False,False,False
1,3.92,5.0,3,0,4,0,2,2,0,2,1,2,1.75,1.75,0,True,False,False,False,False,False,False,False,False
1,4.08,5.0,0,0,3,0,2,2,0,2,0,2,1.25,1.75,0,True,False,False,False,False,False,False,False,False
1,3.67,4.86,1,1,2,0,0,3,0,3,1,3,1.79,1.8,0,True,False,False,False,False,False,False,False,False
1,4.0,5.0,1,1,3,0,2,2,0,2,0,2,1.63,1.86,0,True,False,False,False,False,False,False,False,False
1,3.75,4.73,2,0,5,0,2,2,0,4,1,2,1.88,1.88,0,True,False,False,False,False,False,False,False,False
1,3.5,5.0,2,1,1,0,2,2,0,4,0,5,1.89,1.89,0,True,False,False,False,False,False,False,False,False
1,4.2,5.0,2,1,4,0,2,0,0,4,0,9,1.45,1.9,0,True,False,False,False,False,False,False,False,False
0,4.58,4.94,3,0,3,0,2,0,0,4,0,5,1.33,1.9,0,True,False,False,False,False,False,False,False,False
1,3.0,4.06,0,0,3,0,2,2,0,4,0,2,1.92,1.92,0,True,False,False,False,False,False,False,False,False
1,4.17,5.0,1,1,3,1,2,2,0,3,0,2,2.06,1.97,1,True,False,False,False,False,False,False,False,False
1,4.42,5.0,1,1,3,0,0,2,0,2,0,11,2.33,2.0,0,True,False,False,False,False,False,False,False,False
1,4.0,4.78,0,0,3,1,2,2,0,4,1,8,2.16,2.0,1,True,False,False,False,False,False,False,False,False
1,4.5,4.75,0,0,1,0,2,2,0,2,0,5,1.5,2.02,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,0,2,2,0,2,0,8,1.64,2.1,0,True,False,False,False,False,False,False,False,False
1,3.5,4.78,3,0,2,0,2,0,0,4,0,5,1.33,2.1,0,True,False,False,False,False,False,False,False,False
1,3.82,5.0,1,1,4,1,2,2,0,4,0,3,2.5,2.1,1,True,False,False,False,False,False,False,False,False
1,4.5,5.0,3,0,4,0,2,1,1,4,0,10,2.23,2.17,0,True,False,False,False,False,False,False,False,False
0,4.58,3.96,2,1,3,0,2,1,0,4,0,8,2.11,2.17,0,True,False,False,False,False,False,False,False,False
1,3.23,4.33,0,1,3,0,2,1,0,4,0,3,2.17,2.17,0,True,False,False,False,False,False,False,False,False
1,2.17,4.33,2,0,1,0,2,1,0,4,0,3,2.08,2.17,0,True,False,False,False,False,False,False,False,False
1,3.67,4.28,2,1,5,0,2,2,0,4,1,5,1.94,2.2,0,True,False,False,False,False,False,False,False,False
1,3.8,4.94,1,0,3,0,2,2,0,4,0,9,2.0,2.22,0,True,False,False,False,False,False,False,False,False
1,3.25,4.94,3,0,3,0,2,1,0,4,0,9,2.25,2.25,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,3,0,1,1,2,2,0,4,1,7,2.25,2.25,1,True,False,False,False,False,False,False,False,False
1,4.0,4.72,2,0,3,0,2,1,0,4,0,2,2.25,2.25,0,True,False,False,False,False,False,False,False,False
1,3.42,4.78,1,0,2,0,2,1,0,4,0,2,2.25,2.25,0,True,False,False,False,False,False,False,False,False
1,4.0,5.0,3,0,2,1,2,2,0,3,1,2,2.31,2.28,1,True,False,False,False,False,False,False,False,False
1,3.33,4.19,3,0,4,0,2,1,0,4,0,9,2.3,2.3,0,True,False,False,False,False,False,False,False,False
1,4.25,4.38,3,1,3,1,2,2,0,4,1,7,2.25,2.3,1,True,False,False,False,False,False,False,False,False
1,3.75,5.0,1,1,3,0,2,1,0,3,0,2,2.31,2.31,0,True,False,False,False,False,False,False,False,False
0,3.58,5.0,1,0,4,0,2,1,0,4,0,2,2.31,2.31,0,True,False,False,False,False,False,False,False,False
1,4.25,5.0,3,0,4,0,2,1,0,4,0,2,2.31,2.31,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,2,0,1,2,2,2,0,3,0,5,2.44,2.33,1,True,False,False,False,False,False,False,False,False
0,3.83,4.94,3,0,1,0,2,1,0,4,0,5,2.33,2.33,0,True,False,False,False,False,False,False,False,False
1,3.08,4.22,1,0,1,0,2,1,0,4,0,3,2.33,2.33,0,True,False,False,False,False,False,False,False,False
1,3.67,4.91,2,1,2,0,2,1,0,4,0,3,2.33,2.33,0,True,False,False,False,False,False,False,False,False
1,5.0,4.75,3,1,3,0,2,1,1,4,0,9,2.39,2.35,0,True,False,False,False,False,False,False,False,False
1,4.56,4.82,1,0,5,0,2,1,0,4,1,8,2.35,2.35,0,True,False,False,False,False,False,False,False,False
1,5.0,4.72,3,0,4,0,2,1,0,5,1,6,2.35,2.35,0,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,0,4,0,2,1,0,4,0,2,2.38,2.38,0,True,False,False,False,False,False,False,False,False
1,4.42,4.32,2,0,2,0,2,1,0,4,0,2,2.38,2.38,0,True,False,False,False,False,False,False,False,False
0,3.42,4.14,3,1,4,0,2,1,0,4,0,2,2.38,2.38,0,True,False,False,False,False,False,False,False,False
0,4.0,5.0,3,0,3,0,2,1,0,4,0,2,2.38,2.38,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,1,1,2,2,0,2,0,10,2.41,2.41,1,True,False,False,False,False,False,False,False,False
1,4.17,4.82,1,0,3,0,2,1,0,4,0,2,2.44,2.44,0,True,False,False,False,False,False,False,False,False
1,4.0,5.0,1,1,3,0,2,1,0,3,0,2,2.44,2.44,0,True,False,False,False,False,False,False,False,False
1,4.86,5.0,1,1,4,0,2,3,1,3,0,11,2.35,2.45,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,1,2,2,0,3,0,3,2.25,2.45,1,True,False,False,False,False,False,False,False,False
1,3.63,4.91,1,1,5,1,2,2,0,4,0,3,2.58,2.47,1,True,False,False,False,False,False,False,False,False
1,2.25,4.28,0,1,5,1,0,3,1,5,1,11,3.0,2.5,1,True,False,False,False,False,False,False,False,False
1,2.92,4.75,1,1,5,0,2,2,1,4,0,8,2.73,2.5,0,True,False,False,False,False,False,False,False,False
1,4.33,5.0,3,0,3,0,2,1,0,4,0,2,2.5,2.5,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,1,2,2,0,3,1,10,2.83,2.53,1,True,False,False,False,False,False,False,False,False
1,5.0,4.78,3,1,3,0,1,3,0,3,1,4,2.24,2.55,0,True,False,False,False,False,False,False,False,False
0,3.16,4.19,2,0,1,1,2,2,1,4,0,5,2.75,2.55,1,True,False,False,False,False,False,False,False,False
1,4.67,5.0,3,1,3,0,2,1,0,4,0,2,2.56,2.56,0,True,False,False,False,False,False,False,False,False
1,3.67,4.82,1,0,1,0,2,1,0,4,0,2,2.56,2.56,0,True,False,False,False,False,False,False,False,False
1,3.75,4.11,1,0,4,0,2,1,0,4,0,2,2.56,2.56,0,True,False,False,False,False,False,False,False,False
1,4.5,3.61,0,0,4,2,2,3,0,4,1,2,3.0,2.58,1,True,False,False,False,False,False,False,False,False
1,2.94,4.39,3,0,4,0,2,1,0,4,0,2,2.64,2.64,0,True,False,False,False,False,False,False,False,False
1,3.59,5.0,0,0,2,0,2,1,0,4,0,2,2.69,2.69,0,True,False,False,False,False,False,False,False,False
1,3.0,4.33,3,0,1,0,2,1,0,4,0,2,2.69,2.69,0,True,False,False,False,False,False,False,False,False
1,3.67,5.0,1,1,3,0,2,1,0,4,0,2,2.69,2.69,0,True,False,False,False,False,False,False,False,False
1,4.08,5.0,3,1,3,0,2,1,0,4,0,2,2.69,2.69,0,True,False,False,False,False,False,False,False,False
1,4.33,5.0,0,0,4,0,2,2,0,4,0,10,2.88,2.7,0,True,False,False,False,False,False,False,False,False
1,5.0,5.0,1,1,4,0,2,2,1,4,0,9,2.83,2.7,0,True,False,False,False,False,False,False,False,False
1,3.92,5.0,2,1,3,0,2,2,0,4,0,3,2.83,2.7,0,True,False,False,False,False,False,False,False,False
0,5.0,5.0,1,0,3,2,2,3,1,3,1,4,2.41,2.75,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,1,1,3,1,1,3,1,3,1,4,2.35,2.75,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,0,1,0,2,3,0,3,1,10,2.89,2.75,0,True,False,False,False,False,False,False,False,False
1,4.3,4.75,1,0,4,0,2,2,0,4,0,10,2.88,2.75,0,True,False,False,False,False,False,False,False,False
0,4.0,5.0,3,1,4,0,2,2,0,4,0,10,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,4.0,4.13,1,0,4,0,2,2,0,4,0,10,2.82,2.75,0,True,False,False,False,False,False,False,False,False
1,4.95,5.0,1,1,4,0,2,2,0,4,0,10,2.88,2.75,0,True,False,False,False,False,False,False,False,False
1,4.44,4.38,2,1,3,0,2,2,0,4,0,9,2.81,2.75,0,True,False,False,False,False,False,False,False,False
1,3.75,5.0,2,1,5,0,2,2,0,4,0,8,2.84,2.75,0,True,False,False,False,False,False,False,False,False
1,3.58,4.61,0,1,5,0,2,2,0,4,0,8,2.81,2.75,0,True,False,False,False,False,False,False,False,False
0,4.0,4.89,3,1,3,0,2,2,0,4,0,8,2.79,2.75,0,True,False,False,False,False,False,False,False,False
0,4.67,5.0,3,1,3,0,2,2,0,4,0,8,2.83,2.75,0,True,False,False,False,False,False,False,False,False
0,4.5,4.5,2,1,1,0,2,2,1,4,0,8,2.76,2.75,0,True,False,False,False,False,False,False,False,False
1,4.25,4.94,0,0,5,0,2,2,0,4,1,8,2.84,2.75,0,True,False,False,False,False,False,False,False,False
1,4.0,4.5,1,0,3,0,2,2,0,4,0,7,2.75,2.75,0,True,False,False,False,False,False,False,False,False
0,3.25,4.17,1,1,5,0,2,2,0,4,0,6,2.88,2.75,0,True,False,False,False,False,False,False,False,False
1,2.67,4.11,2,0,5,0,2,2,1,4,0,6,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,4.42,4.44,1,0,3,0,2,2,0,4,0,6,2.8,2.75,0,True,False,False,False,False,False,False,False,False
1,4.75,5.0,0,0,5,0,2,2,0,4,1,5,2.88,2.75,0,True,False,False,False,False,False,False,False,False
1,3.75,4.78,2,1,5,0,2,2,0,4,1,5,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,3.5,5.0,3,0,1,0,2,2,0,4,0,5,2.77,2.75,0,True,False,False,False,False,False,False,False,False
0,3.33,4.59,3,1,5,0,2,2,0,4,0,3,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,4.0,4.89,3,1,3,0,2,2,0,4,0,3,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,3.67,4.77,3,1,3,0,2,2,0,4,0,3,2.83,2.75,0,True,False,False,False,False,False,False,False,False
1,4.25,5.0,2,0,1,0,2,2,0,4,0,2,2.75,2.75,0,True,False,False,False,False,False,False,False,False
0,4.17,5.0,1,0,3,0,2,2,0,4,0,2,2.75,2.75,0,True,False,False,False,False,False,False,False,False
0,3.67,4.73,1,1,2,0,2,2,0,4,0,2,2.75,2.75,0,True,False,False,False,False,False,False,False,False
0,4.08,5.0,3,0,3,0,2,2,0,4,0,2,2.75,2.75,0,True,False,False,False,False,False,False,False,False
1,4.5,5.0,2,1,1,0,0,2,0,1,0,11,2.27,2.79,0,True,False,False,False,False,False,False,False,False
1,3.5,4.83,1,0,5,0,2,2,0,4,1,2,2.81,2.81,0,True,False,False,False,False,False,False,False,False
1,3.25,4.36,0,0,5,0,2,2,0,4,1,2,2.81,2.81,0,True,False,False,False,False,False,False,False,False
0,3.34,4.69,1,0,5,0,2,2,0,4,1,10,2.96,2.84,0,True,False,False,False,False,False,False,False,False
0,4.08,5.0,2,0,4,0,2,2,0,4,0,9,2.99,2.84,0,True,False,False,False,False,False,False,False,False
1,4.08,5.0,3,0,4,0,2,2,0,4,0,6,2.94,2.84,0,True,False,False,False,False,False,False,False,False
1,3.42,4.33,2,1,5,0,2,2,0,4,0,6,2.94,2.84,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,3,2,2,2,0,2,0,8,1.52,2.846,1,True,False,False,False,False,False,False,False,False
0,4.42,4.23,1,0,3,0,2,2,0,4,0,2,2.86,2.86,0,True,False,False,False,False,False,False,False,False
0,3.5,4.73,1,1,2,0,2,2,0,4,0,2,2.88,2.88,0,True,False,False,False,False,False,False,False,False
1,3.58,4.68,1,1,1,0,2,2,0,4,0,2,2.88,2.88,0,True,False,False,False,False,False,False,False,False
1,4.67,5.0,1,1,3,0,2,2,0,3,0,2,2.88,2.88,0,True,False,False,False,False,False,False,False,False
1,4.57,4.95,1,1,3,0,2,2,0,3,0,2,2.88,2.88,0,True,False,False,False,False,False,False,False,False
0,4.17,5.0,1,1,5,0,2,2,0,4,0,2,2.88,2.88,0,True,False,False,False,False,False,False,False,False
0,3.75,4.69,1,1,4,0,2,2,0,4,0,10,2.89,2.89,0,True,False,False,False,False,False,False,False,False
1,4.25,5.0,2,0,4,0,2,2,0,4,0,9,2.91,2.89,0,True,False,False,False,False,False,False,False,False
0,4.17,4.61,1,1,3,0,2,2,0,3,0,8,2.89,2.89,0,True,False,False,False,False,False,False,False,False
0,4.67,5.0,1,0,2,0,2,2,0,4,0,8,2.93,2.89,0,True,False,False,False,False,False,False,False,False
0,3.83,5.0,1,1,3,0,2,2,0,3,0,8,2.89,2.89,0,True,False,False,False,False,False,False,False,False
1,4.08,4.78,3,0,3,0,2,2,0,4,0,7,2.92,2.89,0,True,False,False,False,False,False,False,False,False
1,3.58,4.88,3,0,2,0,2,2,0,4,0,7,2.92,2.89,0,True,False,False,False,False,False,False,False,False
1,4.0,4.7,0,0,1,0,1,2,0,3,1,11,2.46,2.9,0,True,False,False,False,False,False,False,False,False
1,4.58,4.0,3,0,3,0,2,1,0,4,0,10,2.66,2.9,0,True,False,False,False,False,False,False,False,False
1,4.1,3.75,1,1,4,0,2,1,0,4,0,9,2.57,2.9,0,True,False,False,False,False,False,False,False,False
1,3.33,4.61,3,0,3,0,2,1,0,4,0,9,2.44,2.9,0,True,False,False,False,False,False,False,False,False
1,3.67,3.06,3,0,5,0,2,1,0,4,1,8,2.55,2.9,0,True,False,False,False,False,False,False,False,False
1,4.17,4.61,2,1,5,0,2,1,0,4,0,8,2.64,2.9,0,True,False,False,False,False,False,False,False,False
0,3.83,5.0,1,0,4,0,2,1,0,4,0,8,2.6,2.9,0,True,False,False,False,False,False,False,False,False
1,4.67,4.75,3,0,3,0,2,1,0,4,0,7,2.6,2.9,0,True,False,False,False,False,False,False,False,False
1,4.5,4.28,1,0,3,0,2,1,0,4,0,7,2.6,2.9,0,True,False,False,False,False,False,False,False,False
1,4.33,5.0,3,1,5,0,2,1,0,4,0,6,2.5,2.9,0,True,False,False,False,False,False,False,False,False
1,3.17,4.67,3,0,4,0,2,1,0,4,0,6,2.41,2.9,0,True,False,False,False,False,False,False,False,False
0,4.5,4.56,2,1,3,0,2,1,0,4,0,6,2.5,2.9,0,True,False,False,False,False,False,False,False,False
0,3.76,4.0,3,0,4,0,2,1,0,4,0,6,2.56,2.9,0,True,False,False,False,False,False,False,False,False
1,2.59,4.88,3,1,5,0,2,1,0,4,0,6,2.55,2.9,0,True,False,False,False,False,False,False,False,False
1,3.33,3.78,1,0,4,0,2,1,0,4,0,6,2.69,2.9,0,True,False,False,False,False,False,False,False,False
0,4.5,5.0,1,0,5,0,2,1,0,4,1,5,2.67,2.9,0,True,False,False,False,False,False,False,False,False
1,4.17,4.61,1,0,3,0,2,1,0,4,0,5,2.5,2.9,0,True,False,False,False,False,False,False,False,False
0,4.42,5.0,1,1,3,0,2,1,0,3,0,3,2.67,2.9,0,True,False,False,False,False,False,False,False,False
1,3.85,5.0,1,1,4,0,2,1,0,4,0,3,2.42,2.9,0,True,False,False,False,False,False,False,False,False
1,3.92,5.0,3,0,2,0,2,2,0,4,0,2,2.92,2.92,0,True,False,False,False,False,False,False,False,False
0,4.0,5.0,3,0,4,0,2,1,0,4,0,10,2.42,2.94,0,True,False,False,False,False,False,False,False,False
1,3.33,4.89,0,0,2,0,2,2,0,4,0,2,2.94,2.94,0,True,False,False,False,False,False,False,False,False
1,3.92,4.73,1,0,3,0,2,2,0,4,0,2,2.94,2.94,0,True,False,False,False,False,False,False,False,False
0,3.42,4.68,3,0,2,0,2,2,0,4,0,2,2.94,2.94,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,1,2,2,0,4,1,8,2.48,2.98,1,True,False,False,False,False,False,False,False,False
0,4.5,5.0,3,1,3,1,2,3,0,3,1,11,3.45,3.0,1,True,False,False,False,False,False,False,False,False
