Gender,HSC,SSC,Income,Hometown,Computer,Preparation,Gaming,Attendance,Job,English,Extra,Semester,Last,Overall,Treatment,Department_Computer Science and Engineering,Department_Economics,Department_Electrical and Electronic Engineering,Department_English,"Department_Journalism, Communication and Media Studies",Department_Law and Human Rights,Department_Political Science,Department_Public Health,Department_Sociology
1,5.0,5.0,1,0,3,0,2,3,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
1,5.0,5.0,2,1,3,0,0,2,0,4,1,4,2.45,3.0,0,True,False,False,False,False,False,False,False,False
0,5.0,5.0,2,1,3,0,1,3,0,3,0,4,3.22,3.0,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,1,2,2,3,0,4,0,10,3.17,3.0,1,True,False,False,False,False,False,False,False,False
1,3.08,4.68,3,0,3,0,2,2,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
0,3.92,5.0,3,1,5,0,2,2,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
1,3.67,4.68,3,1,3,0,2,2,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
0,3.92,5.0,2,1,4,0,2,2,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
0,3.53,5.0,1,1,2,0,2,2,0,4,0,2,3.0,3.0,0,True,False,False,False,False,False,False,False,False
1,3.83,4.73,3,0,3,1,2,1,0,5,1,2,3.06,3.06,1,True,False,False,False,False,False,False,False,False
0,2.93,4.71,2,0,4,1,2,1,0,3,1,2,3.06,3.06,1,True,False,False,False,False,False,False,False,False
1,3.5,5.0,3,1,5,1,2,1,0,3,1,2,3.06,3.06,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,1,0,4,1,2,3,0,3,1,4,2.94,3.07,1,True,False,False,False,False,False,False,False,False
1,4.0,4.92,1,0,3,1,1,3,0,3,1,11,3.0,3.08,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,0,4,1,1,2,0,4,0,10,3.29,3.08,1,True,False,False,False,False,False,False,False,False
1,3.6,4.94,2,0,4,1,1,2,0,4,0,10,3.25,3.08,1,True,False,False,False,False,False,False,False,False
1,3.83,4.75,2,0,3,1,1,2,0,4,0,9,3.25,3.08,1,True,False,False,False,False,False,False,False,False
0,3.51,3.19,0,0,3,1,1,2,0,3,0,9,3.25,3.08,1,True,False,False,False,False,False,False,False,False
1,4.44,5.0,2,1,5,1,1,2,1,2,0,8,3.25,3.08,1,True,False,False,False,False,False,False,False,False
0,3.92,5.0,2,0,3,1,1,2,0,3,0,8,3.28,3.08,1,True,False,False,False,False,False,False,False,False
1,4.5,5.0,1,1,3,1,1,2,0,4,0,8,3.3,3.08,1,True,False,False,False,False,False,False,False,False
1,4.5,5.0,3,1,1,1,1,2,1,2,0,8,3.26,3.08,1,True,False,False,False,False,False,False,False,False
1,3.42,4.0,0,0,4,1,1,2,1,2,0,6,3.3,3.08,1,True,False,False,False,False,False,False,False,False
0,3.86,5.0,3,0,5,1,1,2,0,3,0,6,3.25,3.08,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,0,0,4,1,1,2,0,3,0,3,3.25,3.08,1,True,False,False,False,False,False,False,False,False
1,4.08,5.0,0,0,1,1,1,3,0,3,1,10,2.73,3.09,1,True,False,False,False,False,False,False,False,False
1,4.0,4.33,0,0,3,0,1,3,0,1,0,7,2.69,3.1,0,True,False,False,False,False,False,False,False,False
1,4.83,5.0,1,0,1,1,2,2,0,3,0,7,2.83,3.1,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,0,0,3,2,0,3,0,3,1,4,3.11,3.11,1,True,False,False,False,False,False,False,False,False
1,3.42,4.63,0,0,3,1,2,3,0,5,1,2,3.13,3.13,1,True,False,False,False,False,False,False,False,False
1,4.33,4.68,3,1,5,1,2,3,0,3,1,2,3.13,3.13,1,True,False,False,False,False,False,False,False,False
0,4.0,5.0,1,1,3,1,2,3,0,3,1,2,3.13,3.13,1,True,False,False,False,False,False,False,False,False
1,3.08,4.06,2,0,3,1,2,3,0,4,0,2,3.13,3.13,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,0,0,4,1,1,2,0,3,0,9,3.34,3.15,1,True,False,False,False,False,False,False,False,False
1,4.44,5.0,0,1,5,1,1,2,0,4,0,9,3.3,3.15,1,True,False,False,False,False,False,False,False,False
0,3.92,5.0,3,1,5,1,1,2,0,3,0,8,3.34,3.15,1,True,False,False,False,False,False,False,False,False
1,3.42,4.17,3,1,3,1,1,2,0,3,0,7,3.33,3.15,1,True,False,False,False,False,False,False,False,False
0,4.58,5.0,3,1,3,1,1,2,0,3,0,7,3.33,3.15,1,True,False,False,False,False,False,False,False,False
0,3.83,5.0,3,0,3,1,1,2,0,3,0,7,3.33,3.15,1,True,False,False,False,False,False,False,False,False
0,4.5,5.0,2,1,3,1,1,2,0,4,0,5,3.3,3.15,1,True,False,False,False,False,False,False,False,False
1,4.75,5.0,2,0,4,1,2,3,0,3,1,2,3.16,3.16,1,True,False,False,False,False,False,False,False,False
1,4.19,4.36,1,1,3,1,2,2,0,3,1,2,3.19,3.19,1,True,False,False,False,False,False,False,False,False
1,3.5,4.73,1,0,3,1,2,2,0,4,0,2,3.19,3.19,1,True,False,False,False,False,False,False,False,False
1,3.38,5.0,1,1,5,1,2,2,0,3,1,2,3.19,3.19,1,True,False,False,False,False,False,False,False,False
1,4.0,5.0,2,0,5,1,2,2,1,4,0,2,3.19,3.19,1,True,False,False,False,False,False,False,False,False
1,3.8,4.56,2,1,3,1,2,2,0,3,1,2,3.21,3.21,1,True,False,False,False,False,False,False,False,False
1,4.0,4.88,2,0,3,2,2,3,0,3,0,8,3.27,3.22,1,True,False,False,False,False,False,False,False,False
1,4.2,5.0,1,1,5,1,2,3,1,4,1,11,3.02,3.25,1,True,False,False,False,False,False,False,False,False
1,3.67,5.0,0,1,5,1,2,3,0,3,1,10,3.09,3.25,1,True,False,False,False,False,False,False,False,False
1,3.5,4.88,0,0,4,1,2,3,0,4,0,10,3.1,3.25,1,True,False,False,False,False,False,False,False,False
1,3.5,4.56,0,0,3,0,2,2,0,5,1,10,3.01,3.25,0,True,False,False,False,False,False,False,False,False
1,4.0,4.88,2,1,5,1,2,1,1,4,0,8,3.08,3.25,1,True,False,False,False,False,False,False,False,False
1,3.93,5.0,1,1,2,1,2,1,0,5,1,8,3.04,3.25,1,True,False,False,False,False,False,False,False,False
1,4.08,5.0,1,1,4,1,2,1,0,4,0,8,3.04,3.25,1,True,False,False,False,False,False,False,False,False
1,4.33,4.81,2,0,3,1,1,2,0,3,0,8,3.22,3.25,1,True,False,False,False,False,False,False,False,False
1,4.25,5.0,1,0,4,1,2,3,0,4,0,8,3.11,3.25,1,True,False,False,False,False,False,False,False,False
1,4.1,5.0,1,0,1,1,2,3,0,5,1,8,3.1,3.25,1,True,False,False,False,False,False,False,False,False
0,3.87,4.94,2,1,3,1,2,1,0,5,1,7,3.08,3.25,1,True,False,False,False,False,False,False,False,False
0,4.58,5.0,2,1,4,1,2,1,0,4,0,6,3.04,3.25,1,True,False,False,False,False,False,False,False,False
1,3.83,5.0,3,0,4,0,2,2,0,4,0,5,3.0,3.25,0,True,False,False,False,False,False,False,False,False
1,4.5,4.28,3,1,5,1,2,1,0,3,1,5,3.05,3.25,1,True,False,False,False,False,False,False,False,False
0,4.0,5.0,2,0,5,1,2,1,0,5,1,5,3.08,3.25,1,True,False,False,False,False,False,False,False,False
0,4.0,5.0,0,0,1,1,2,1,0,5,1,5,3.08,3.25,1,True,False,False,False,False,False,False,False,False
0,3.83,5.0,2,0,3,1,2,1,0,4,0,3,3.06,3.25,1,True,False,False,False,False,False,False,False,False
1,3.67,5.0,3,1,3,0,2,2,0,4,0,3,3.0,3.25,0,True,False,False,False,False,False,False,False,False
0,3.92,4.18,2,1,5,1,2,1,0,3,1,3,3.08,3.25,1,True,False,False,False,False,False,False,False,False
1,3.5,4.81,0,0,3,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,3.07,4.85,0,0,3,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,1,3,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,4.08,5.0,0,0,2,1,1,2,0,4,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,3.83,5.0,1,0,1,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,3.58,4.83,3,0,2,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,0,3,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,4.25,5.0,0,0,5,1,1,2,0,2,1,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,4.42,4.86,1,1,2,1,1,2,0,4,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
1,4.5,4.86,2,0,3,1,1,2,0,3,0,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
0,3.75,4.59,2,0,5,1,1,2,0,2,1,2,3.25,3.25,1,True,False,False,False,False,False,False,False,False
0,4.5,4.75,2,0,1,2,2,3,0,4,0,8,3.11,3.26,1,True,False,False,False,False,False,False,False,False
1,5.0,4.67,0,0,3,2,1,3,0,3,1,3,3.27,3.27,1,True,False,False,False,False,False,False,False,False
1,4.0,5.0,2,1,5,1,1,2,0,3,0,10,3.47,3.27,1,True,False,False,False,False,False,False,False,False
1,4.3,5.0,2,1,4,1,1,2,0,3,0,10,3.44,3.27,1,True,False,False,False,False,False,False,False,False
1,4.25,5.0,3,1,3,1,1,2,1,2,0,9,3.43,3.27,1,True,False,False,False,False,False,False,False,False
1,4.25,4.61,3,1,5,1,1,2,0,3,0,8,3.48,3.27,1,True,False,False,False,False,False,False,False,False
0,4.25,5.0,1,0,3,1,1,2,0,4,0,8,3.43,3.27,1,True,False,False,False,False,False,False,False,False
0,3.14,4.63,3,0,2,1,1,2,0,4,0,7,3.47,3.27,1,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,1,2,2,3,0,3,0,10,3.33,3.28,1,True,False,False,False,False,False,False,False,False
1,3.67,4.78,2,0,3,1,1,2,0,3,0,2,3.3,3.3,1,True,False,False,False,False,False,False,False,False
1,3.83,5.0,2,0,5,1,1,2,0,2,1,2,3.3,3.3,1,True,False,False,False,False,False,False,False,False
1,4.58,5.0,3,1,5,1,1,2,0,3,0,2,3.31,3.31,1,True,False,False,False,False,False,False,False,False
0,4.75,5.0,3,1,3,1,1,2,0,3,0,2,3.31,3.31,1,True,False,False,False,False,False,False,False,False
0,4.17,5.0,1,1,5,1,1,2,0,3,0,2,3.31,3.31,1,True,False,False,False,False,False,False,False,False
0,3.67,4.56,3,1,5,1,1,2,0,3,0,2,3.31,3.31,1,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,2,2,3,0,3,1,8,3.32,3.32,1,True,False,False,False,False,False,False,False,False
1,4.08,4.17,3,0,5,1,1,2,0,3,0,2,3.32,3.32,1,True,False,False,False,False,False,False,False,False
1,4.01,4.33,1,0,3,1,1,3,1,2,1,4,2.71,3.33,1,True,False,False,False,False,False,False,False,False
0,4.0,4.38,1,1,3,1,1,2,0,3,0,9,3.41,3.33,1,True,False,False,False,False,False,False,False,False
0,3.58,4.44,2,0,5,1,1,2,0,2,1,8,3.35,3.33,1,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,1,2,2,3,0,4,0,8,3.55,3.33,1,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,1,2,2,0,3,0,8,2.86,3.33,1,True,False,False,False,False,False,False,False,False
1,4.33,5.0,2,1,3,1,1,2,0,4,0,8,3.4,3.33,1,True,False,False,False,False,False,False,False,False
0,3.83,4.89,3,1,3,1,1,2,0,3,0,7,3.42,3.33,1,True,False,False,False,False,False,False,False,False
1,3.5,4.61,1,1,5,1,1,2,0,3,0,6,3.38,3.33,1,True,False,False,False,False,False,False,False,False
1,4.0,4.89,3,0,3,1,1,2,0,3,0,5,3.4,3.33,1,True,False,False,False,False,False,False,False,False
1,4.25,4.94,1,1,4,1,1,2,0,3,0,5,3.42,3.33,1,True,False,False,False,False,False,False,False,False
0,5.0,5.0,0,0,3,1,1,2,0,3,0,5,3.42,3.33,1,True,False,False,False,False,False,False,False,False
1,4.17,4.89,2,1,3,1,1,2,0,4,0,3,3.42,3.33,1,True,False,False,False,False,False,False,False,False
1,4.17,4.95,3,0,2,1,1,2,0,4,0,2,3.35,3.35,1,True,False,False,False,False,False,False,False,False
1,4.5,4.75,2,0,3,2,2,3,0,3,0,8,3.14,3.37,1,True,False,False,False,False,False,False,False,False
0,4.08,5.0,1,1,3,1,1,2,0,4,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,3.75,4.95,2,0,3,1,1,2,0,3,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,4.42,4.89,3,0,3,1,1,2,0,3,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,4.75,4.09,1,1,5,1,1,2,0,4,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,4.25,5.0,1,1,3,1,1,2,0,4,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
0,3.58,5.0,2,0,5,1,1,2,0,2,1,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
0,4.17,4.83,1,0,3,1,1,2,0,3,0,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,3.42,4.68,1,0,5,1,1,2,0,2,1,2,3.38,3.38,1,True,False,False,False,False,False,False,False,False
1,3.67,4.89,0,0,3,0,0,3,1,4,1,10,3.3,3.39,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,1,0,1,1,2,3,0,4,1,7,3.83,3.39,1,True,False,False,False,False,False,False,False,False
0,4.5,4.75,2,0,3,2,2,3,0,4,0,8,3.27,3.43,1,True,False,False,False,False,False,False,False,False
0,4.83,5.0,3,1,2,1,1,3,0,4,0,11,3.56,3.44,1,True,False,False,False,False,False,False,False,False
1,4.33,5.0,0,0,3,1,2,2,0,5,1,10,3.6,3.44,1,True,False,False,False,False,False,False,False,False
1,4.33,5.0,3,0,3,1,2,2,0,5,1,8,3.59,3.44,1,True,False,False,False,False,False,False,False,False
0,4.55,5.0,3,1,5,1,1,2,0,3,0,2,3.44,3.44,1,True,False,False,False,False,False,False,False,False
1,4.25,4.89,0,1,5,1,1,2,0,4,0,2,3.44,3.44,1,True,False,False,False,False,False,False,False,False
1,3.92,5.0,1,1,3,1,1,2,0,3,0,2,3.44,3.44,1,True,False,False,False,False,False,False,False,False
0,4.75,5.0,2,0,1,0,2,2,0,1,0,11,3.52,3.45,0,True,False,False,False,False,False,False,False,False
1,4.5,4.75,2,0,1,2,2,2,0,4,0,3,2.92,3.46,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,1,1,5,0,2,3,0,4,1,2,3.48,3.48,0,True,False,False,False,False,False,False,False,False
1,3.5,4.8,3,1,5,0,2,1,0,5,1,11,3.02,3.5,0,True,False,False,False,False,False,False,False,False
0,5.0,5.0,1,1,4,1,2,3,1,5,1,4,2.07,3.5,1,True,False,False,False,False,False,False,False,False
1,4.53,4.75,1,0,1,0,2,3,0,4,1,10,3.0,3.5,0,True,False,False,False,False,False,False,False,False
1,4.42,4.88,0,0,4,0,1,3,0,3,0,10,3.76,3.5,0,True,False,False,False,False,False,False,False,False
1,4.58,5.0,3,0,4,0,1,3,0,4,0,9,3.7,3.5,0,True,False,False,False,False,False,False,False,False
0,3.5,4.81,1,0,4,2,2,3,0,5,1,9,3.8,3.5,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,2,1,5,0,2,3,0,5,1,8,4.0,3.5,0,True,False,False,False,False,False,False,False,False
1,4.58,5.0,1,1,1,0,1,3,0,5,1,8,3.78,3.5,0,True,False,False,False,False,False,False,False,False
0,4.83,5.0,3,1,3,0,0,3,0,3,1,7,3.83,3.5,0,True,False,False,False,False,False,False,False,False
0,4.33,5.0,3,1,3,2,2,3,0,5,1,7,3.81,3.5,1,True,False,False,False,False,False,False,False,False
0,4.25,5.0,2,0,5,2,2,3,0,5,1,6,3.81,3.5,1,True,False,False,False,False,False,False,False,False
1,4.33,5.0,0,0,4,0,1,3,0,4,0,6,3.75,3.5,0,True,False,False,False,False,False,False,False,False
1,3.75,4.67,2,0,3,0,0,3,0,3,1,5,3.83,3.5,0,True,False,False,False,False,False,False,False,False
1,4.58,5.0,3,0,3,0,1,3,0,3,0,5,3.75,3.5,0,True,False,False,False,False,False,False,False,False
0,3.67,4.61,3,1,3,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
0,3.75,4.78,2,0,3,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
1,4.17,4.94,0,0,3,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
1,4.0,5.0,1,0,3,1,1,2,0,4,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
1,3.75,4.61,0,0,3,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
1,4.08,5.0,3,1,5,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
0,4.33,4.94,1,1,5,1,1,2,0,3,0,2,3.5,3.5,1,True,False,False,False,False,False,False,False,False
1,4.57,5.0,1,0,5,0,0,3,0,5,0,11,3.92,3.54,0,True,False,False,False,False,False,False,False,False
0,4.5,4.75,1,0,1,2,2,3,0,5,0,10,3.42,3.55,1,True,False,False,False,False,False,False,False,False
1,4.52,4.75,1,0,1,2,2,3,0,3,0,10,3.42,3.55,1,True,False,False,False,False,False,False,False,False
1,3.58,5.0,0,0,3,1,2,2,0,5,1,9,3.57,3.56,1,True,False,False,False,False,False,False,False,False
0,4.17,5.0,2,0,4,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
0,4.25,5.0,1,0,5,1,2,2,0,5,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
1,4.33,5.0,3,0,3,1,2,2,0,5,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
0,3.83,4.59,1,1,3,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
1,4.17,4.59,2,0,3,1,2,2,0,4,0,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
0,4.17,5.0,0,0,3,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
1,4.0,5.0,3,0,5,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
0,4.0,5.0,3,1,3,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
0,4.42,5.0,3,1,4,1,2,2,0,4,0,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
1,3.92,4.18,3,1,5,1,2,2,0,3,1,2,3.56,3.56,1,True,False,False,False,False,False,False,False,False
1,5.0,5.0,0,0,1,0,2,3,0,1,0,4,3.64,3.6,0,True,False,False,False,False,False,False,False,False
0,3.83,5.0,3,1,5,1,2,2,0,3,1,10,3.61,3.6,1,True,False,False,False,False,False,False,False,False
